"pmGroupId";"category";"consistentData";"generation";"switchingTechnology";"validity";"moClass";"model";"subtree";"description";"pmGroupVersion";"measurementTypeId";"measurementName";"size";"collectionMethod";"description";"condition";"aggregation";"measurementStatus";"measurementResult";"multiplicity";"initialValue";"resetAtGranPeriod";"derSampleRate";"fmAlarmType";"thresholdDirection";"isCompressed"
"SctpAssociation";;;;;true;SctpAssociation;RtnSctp;Transport;"Statistics for SCTP association";"YZCteojSTHZiE3oVrPcFz7JbdGw=";"sctpAssocInOctets";"sctpAssocInOctets";8;"CC";"Number of octets in received packets for this association, including duplicates and those received in error. ";"An SCTP packet is received.";"SUM";"USED";"OK";1;0;true;0;;;false
"SctpAssociation";;;;;true;SctpAssociation;RtnSctp;Transport;"Statistics for SCTP association";"YZCteojSTHZiE3oVrPcFz7JbdGw=";"sctpAssocDelayRTTPeriods";"sctpAssocDelayRTTPeriods";8;"GAUGE";"Number of valid one minute intervals within ROP, delayRTT values is based on.\nIf retransmit occurs in one minute interval, specific interval will be excluded from result.\nIf retransmit occurs in all 15 one minute intervals no delayRTT values will be presented.";;"LAST_UPDATE";"USED";"OK";1;0;true;0;;;false
"SctpAssociation";;;;;true;SctpAssociation;RtnSctp;Transport;"Statistics for SCTP association";"YZCteojSTHZiE3oVrPcFz7JbdGw=";"sctpAssocOutDiscardedUserMsgs";"sctpAssocOutDiscardedUserMsgs";8;"CC";"Number of outgoing user data messages, which were discarded even though no problems were encountered to prevent their transmission. User messages are discarded due to lack of space in the transmission buffer.";"An outgoing user message is discarded.";"SUM";"USED";"OK";1;0;true;0;;;false
"SctpAssociation";;;;;true;SctpAssociation;RtnSctp;Transport;"Statistics for SCTP association";"YZCteojSTHZiE3oVrPcFz7JbdGw=";"sctpAssocDelayRTTMin";"sctpAssocDelayRTTMin";8;"GAUGE";"Minimum Round Trip Time value observed from all valid one minute intervals within ROP";;"LAST_UPDATE";"USED";"OK";1;0;true;0;;;false
"SctpAssociation";;;;;true;SctpAssociation;RtnSctp;Transport;"Statistics for SCTP association";"YZCteojSTHZiE3oVrPcFz7JbdGw=";"sctpAssocInAbnormalDataChunks";"sctpAssocInAbnormalDataChunks";8;"CC";"Number of received DATA chunks with errors in the chunk format or in the chunk contents preventing them from being delivered to the SCTP user.";"A received chunk is discarded.";"SUM";"USED";"OK";1;0;true;0;;;false
"SctpAssociation";;;;;true;SctpAssociation;RtnSctp;Transport;"Statistics for SCTP association";"YZCteojSTHZiE3oVrPcFz7JbdGw=";"sctpAssocInDiscardedControlChunks";"sctpAssocInDiscardedControlChunks";8;"CC";"Number of received control chunks which were discarded even though no errors were detected. Chunks can be discarded for the following reasons:\n- unsupported chunk type.\n- wrong association state.";"A received chunk is discarded.";"SUM";"USED";"OK";1;0;true;0;;;false
"SctpAssociation";;;;;true;SctpAssociation;RtnSctp;Transport;"Statistics for SCTP association";"YZCteojSTHZiE3oVrPcFz7JbdGw=";"sctpAssocOutControlChunks";"sctpAssocOutControlChunks";8;"CC";"Number of transmitted control chunks.";"A control chunk is transmitted.";"SUM";"USED";"OK";1;0;true;0;;;false
"SctpAssociation";;;;;true;SctpAssociation;RtnSctp;Transport;"Statistics for SCTP association";"YZCteojSTHZiE3oVrPcFz7JbdGw=";"sctpAssocInAbnormalControlChunks";"sctpAssocInAbnormalControlChunks";8;"CC";"Number of received control chunks which were chosen to be discarded due to errors in the chunk format or in the chunk content.";"A received chunk is discarded.";"SUM";"USED";"OK";1;0;true;0;;;false
"SctpAssociation";;;;;true;SctpAssociation;RtnSctp;Transport;"Statistics for SCTP association";"YZCteojSTHZiE3oVrPcFz7JbdGw=";"sctpAssocOutDiscardedDataChunks";"sctpAssocOutDiscardedDataChunks";8;"CC";"Number of outgoing DATA chunks for this association for which no problems were encountered to prevent their transmission but were discarded. DATA chunks are discarded due to ungraceful closing of the association.";"An outgoing DATA chunk is discarded.";"SUM";"USED";"OK";1;0;true;0;;;false
"SctpAssociation";;;;;true;SctpAssociation;RtnSctp;Transport;"Statistics for SCTP association";"YZCteojSTHZiE3oVrPcFz7JbdGw=";"sctpAssocRtxChunks";"sctpAssocRtxChunks";8;"CC";"Number of retransmitted DATA chunks.";"A DATA chunk is retransmitted.";"SUM";"USED";"OK";1;0;true;0;;;false
"SctpAssociation";;;;;true;SctpAssociation;RtnSctp;Transport;"Statistics for SCTP association";"YZCteojSTHZiE3oVrPcFz7JbdGw=";"sctpAssocOutOctets";"sctpAssocOutOctets";8;"CC";"Number of octets in transmitted packets.";"An SCTP packet is transmitted.";"SUM";"USED";"OK";1;0;true;0;;;false
"SctpAssociation";;;;;true;SctpAssociation;RtnSctp;Transport;"Statistics for SCTP association";"YZCteojSTHZiE3oVrPcFz7JbdGw=";"sctpAssocInControlChunks";"sctpAssocInControlChunks";8;"CC";"Number of received control chunks.\n\nThe counter does not include abnormal or discarded chunks.";"A control chunk is received.";"SUM";"USED";"OK";1;0;true;0;;;false
"SctpAssociation";;;;;true;SctpAssociation;RtnSctp;Transport;"Statistics for SCTP association";"YZCteojSTHZiE3oVrPcFz7JbdGw=";"sctpAssocTimeCongested";"sctpAssocTimeCongested";8;"CC";"Number of seconds that the local transmission buffer for the association is congested.";"The accumulated association congestion time reaches 1 second.";"SUM";"USED";"OK";1;0;true;0;;;false
"SctpAssociation";;;;;true;SctpAssociation;RtnSctp;Transport;"Statistics for SCTP association";"YZCteojSTHZiE3oVrPcFz7JbdGw=";"sctpAssocAborteds";"sctpAssocAborteds";8;"CC";"Number of times that the association has become unavailable to the SCTP user due to ungraceful termination by the local or the remote side, using the chunk ABORT.Ungraceful termination during association establishment does not increment this counter.";"State change from ESTABLISHED to CLOSED, during ABORT.";"SUM";"USED";"OK";1;0;true;0;;;false
"SctpAssociation";;;;;true;SctpAssociation;RtnSctp;Transport;"Statistics for SCTP association";"YZCteojSTHZiE3oVrPcFz7JbdGw=";"sctpAssocShutdowns";"sctpAssocShutdowns";8;"CC";"Number of times that the association has become unavailable to the SCTP user due to graceful shutdown by the local or the remote side.";"State change from SHUTDOWN-SENT or SHUTDOWN-ACK-SENT directly to CLOSED.";"SUM";"USED";"OK";1;0;true;0;;;false
"SctpAssociation";;;;;true;SctpAssociation;RtnSctp;Transport;"Statistics for SCTP association";"YZCteojSTHZiE3oVrPcFz7JbdGw=";"sctpAssocInDataChunks";"sctpAssocInDataChunks";8;"CC";"Number of received DATA chunks.\n\nThe counter does NOT include abnormal or discarded chunks.";" A DATA chunk is received.";"SUM";"USED";"OK";1;0;true;0;;;false
"SctpAssociation";;;;;true;SctpAssociation;RtnSctp;Transport;"Statistics for SCTP association";"YZCteojSTHZiE3oVrPcFz7JbdGw=";"sctpAssocOutPacks";"sctpAssocOutPacks";8;"CC";"Number of transmitted packets.";"An SCTP packet is transmitted.";"SUM";"USED";"OK";1;0;true;0;;;false
"SctpAssociation";;;;;true;SctpAssociation;RtnSctp;Transport;"Statistics for SCTP association";"YZCteojSTHZiE3oVrPcFz7JbdGw=";"sctpAssocCongestions";"sctpAssocCongestions";8;"CC";"Number of times that the local transmission buffer for the association is congested.";"The association becomes congested.";"SUM";"USED";"OK";1;0;true;0;;;false
"SctpAssociation";;;;;true;SctpAssociation;RtnSctp;Transport;"Statistics for SCTP association";"YZCteojSTHZiE3oVrPcFz7JbdGw=";"sctpAssocDelayRTTMax";"sctpAssocDelayRTTMax";8;"GAUGE";"Maximum Round Trip Time value observed from all valid one minute intervals within ROP.";;"LAST_UPDATE";"USED";"OK";1;0;true;0;;;false
